,County Name,Jan2020_Sum,Feb2020_Sum,Mar2020_Sum,Apr2020_Sum,May2020_Sum,Jun2020_Sum,Jul2020_Sum,Aug2020_Sum,Sep2020_Sum,Oct2020_Sum,Nov2020_Sum,Dec2020_Sum,Jan2021_Sum,Feb2021_Sum,Mar2021_Sum,Apr2021_Sum,May2021_Sum,Jun2021_Sum,Jul2021_Sum,Aug2021_Sum,Sep2021_Sum,Oct2021_Sum,Nov2021_Sum,Dec2021_Sum,Jan2022_Sum,Feb2022_Sum,Mar2022_Sum,Apr2022_Sum,May2022_Sum,Jun2022_Sum
28,Holmes County ,0,0,2,143,382,1936,8750,16669,21318,25681,31320,43424,59791,59942,68243,66733,70248,68176,72110,86197,106127,117854,115534,120347,136988,147722,166864,162343,168463,92970
29,Indian River County ,0,0,171,2234,3322,9338,44714,81032,90918,109575,134051,179474,265673,293331,353321,362945,392199,385820,417063,511362,621634,681660,666133,697059,825565,879997,999400,976370,1032876,587224
30,Jackson County ,0,0,16,241,4157,9627,24822,62852,79041,93161,106165,131399,162185,162682,185958,183345,193671,189965,207006,247442,283060,310458,304072,316593,364995,400711,456282,443478,461105,255884
31,Jefferson County ,0,0,0,496,879,1052,3488,14226,16043,19107,21706,26863,36213,38214,43853,43549,46569,45279,47688,56909,68617,75695,74528,77866,95486,106803,121571,118096,123000,68273
32,Lafayette County ,0,0,0,23,164,492,1979,21995,36670,38946,38885,43035,45984,43652,49620,48296,50242,48827,51448,57446,63459,67782,66617,69110,73562,75630,85830,83307,86187,47528
33,Lake County ,0,0,322,5118,7944,18132,92293,172300,212976,251356,290064,399201,589747,654522,796431,840884,938065,929370,1016112,1249635,1486352,1664529,1647629,1738350,2127219,2294056,2613000,2551035,2687339,1518653
34,Lee County ,0,0,1043,20175,45101,96904,344332,534460,589953,677719,797152,1099421,1468555,1553510,1865494,1979452,2230948,2182453,2323551,2787526,3476171,3836278,3767679,3960957,4831394,5130361,5823633,5682524,5979191,3375385
35,Leon County ,0,0,152,4156,9247,16732,85237,166425,271376,357240,409797,534394,721987,784652,924087,926245,1002142,972403,1035130,1225997,1411127,1553060,1526309,1604528,2085315,2308725,2623519,2550063,2668545,1502251
36,Levy County ,0,0,8,274,754,3325,10352,23614,29407,33910,38183,50459,70135,76654,92892,97774,108201,107919,117575,150137,192644,214226,210542,220421,253231,278061,316489,307436,319272,177563
37,Liberty County ,0,0,0,41,5243,6569,8992,12672,14355,16280,16807,20613,27890,28619,32529,31842,33412,32532,35073,43596,51427,56074,54947,57307,64926,68819,77356,74944,77934,43079
38,Madison County ,0,0,0,677,1979,3188,12368,23509,29147,32591,35218,44048,52566,53777,62678,61234,64272,62665,65942,78770,99152,110428,108287,113788,137262,158701,180175,174867,181648,100735
39,Manatee County ,0,0,363,9585,26121,49925,180203,300254,330381,385605,450222,604096,797607,849756,1035892,1096013,1214793,1188050,1265669,1497019,1804778,1990303,1953969,2050918,2436901,2585623,2940201,2870414,3019892,1709215
40,Marion County ,0,0,120,3130,6759,11252,69054,219458,276607,321077,356560,475909,670426,735548,881007,896332,975481,960220,1037418,1282744,1576192,1741990,1711193,1790547,2094596,2265285,2573092,2501120,2613696,1460924
41,Martin County ,0,0,156,3870,11374,38147,90583,122965,139612,159647,173550,218197,274911,283189,341119,354644,386870,380433,416283,486796,558824,617112,607504,641061,813332,852641,935348,911544,963125,546488
42,Miami-Dade County ,0,0,9865,237806,472942,720812,2368536,4403987,4948751,5508470,6155026,8210392,10522612,11013550,13297628,13986078,15316423,15008320,16056237,18064291,19309090,20671473,20270137,21863770,31329554,32306629,36379421,35523166,37720348,21567235
43,Monroe County ,0,0,150,1879,2946,4437,23077,49252,53757,63272,85346,119918,150651,156607,190603,200743,217721,206425,217741,255542,292972,321624,319965,343652,467482,492129,555451,541931,573188,323505
44,Nassau County ,0,0,61,1131,2024,3216,19694,42046,58466,71814,83722,121456,188223,207980,243925,243499,262771,253592,290152,373587,428267,462305,453645,475028,552084,592789,671041,652188,682669,383497
45,Okaloosa County ,0,0,286,3247,5552,11202,50723,113619,139185,176596,230980,341478,462639,501914,602906,602248,641411,626157,670484,791728,956957,1056911,1038315,1086860,1277636,1401106,1586657,1541229,1603637,895243
46,Okeechobee County ,0,0,0,182,1248,6143,19122,34488,41706,51522,56761,68650,90003,96099,112980,116067,126301,126082,135061,158992,204349,228164,222025,230971,276173,291395,328349,318592,330636,183138
47,Orange County ,0,0,1763,31092,51167,132183,637841,1024355,1149751,1339663,1559970,2058010,2833889,3061843,3685316,3911760,4346260,4284575,4684539,5629207,6411027,6996726,6875260,7276675,9602171,10206254,11580410,11308525,11933747,6773786
48,Osceola County ,0,0,652,10591,18705,30814,162858,314178,357003,415432,485724,682548,929657,990096,1185614,1256274,1404733,1386454,1507513,1777693,2013393,2195643,2161824,2288630,2952276,3089789,3494604,3411300,3592474,2033808
49,Palm Beach County ,0,0,2722,56034,138046,283732,734138,1196320,1334803,1517844,1763586,2303323,2976935,3204568,3917528,4132345,4538000,4437798,4767603,5580945,6327014,6901053,6791136,7252468,9728434,10015687,11287948,11036159,11701011,6667924
50,Pasco County ,0,0,287,5181,9943,23430,135582,228179,260333,313252,383617,572894,814107,886029,1081388,1158334,1302159,1289974,1401151,1761146,2179107,2431734,2386541,2508430,3047004,3306558,3763702,3668768,3861731,2187323
51,Pinellas County ,0,0,952,15620,31040,90467,374260,574879,633745,741002,881577,1205791,1649361,1772355,2151650,2276164,2491924,2419273,2595023,3144646,3744402,4125068,4051552,4261519,5224673,5638949,6432740,6278788,6630686,3772195
52,Polk County ,0,0,346,8765,22833,55812,261526,470528,560314,669941,760556,999221,1385187,1519511,1834368,1930292,2160503,2143456,2331424,2908726,3571576,3942805,3873718,4071798,5082878,5447621,6170751,6003813,6301909,3555629
53,Putnam County ,0,0,87,1525,4077,6460,26596,49423,59398,70030,76920,103931,149940,159530,184261,186840,204239,203003,224446,283931,350826,392750,384452,399860,449104,479184,542961,527241,548424,304915
54,St. Johns County ,0,0,442,5206,7146,12840,67080,120424,147974,183927,228159,336056,500621,544200,639503,654906,709798,699272,784152,962454,1115825,1246720,1228612,1294538,1557144,1706062,1931218,1875018,1965648,1107626
55,St. Lucie County ,0,0,168,5008,10316,29879,103255,191199,228765,265661,297629,386261,534801,587081,718016,750567,832169,830868,909815,1110017,1328395,1466451,1438427,1508669,1893782,2010534,2285008,2226856,2338802,1317965
