,County Name,Date,Covid Cases,months
740,Bradford County ,Dec2020_Sum,53747,Dec2020_Sum
807,Bradford County ,Jan2021_Sum,76191,Jan2021_Sum
874,Bradford County ,Feb2021_Sum,77552,Feb2021_Sum
941,Bradford County ,Mar2021_Sum,89559,Mar2021_Sum
1008,Bradford County ,Apr2021_Sum,88574,Apr2021_Sum
1075,Bradford County ,May2021_Sum,93867,May2021_Sum
1142,Bradford County ,Jun2021_Sum,91551,Jun2021_Sum
1209,Bradford County ,Jul2021_Sum,102909,Jul2021_Sum
1276,Bradford County ,Aug2021_Sum,128133,Aug2021_Sum
1343,Bradford County ,Sep2021_Sum,151470,Sep2021_Sum
1410,Bradford County ,Oct2021_Sum,164623,Oct2021_Sum
1477,Bradford County ,Nov2021_Sum,160229,Nov2021_Sum
1544,Bradford County ,Dec2021_Sum,166408,Dec2021_Sum
1611,Bradford County ,Jan2022_Sum,187903,Jan2022_Sum
1678,Bradford County ,Feb2022_Sum,203711,Feb2022_Sum
1745,Bradford County ,Mar2022_Sum,231160,Mar2022_Sum
1812,Bradford County ,Apr2022_Sum,224488,Apr2022_Sum
1879,Bradford County ,May2022_Sum,233983,May2022_Sum
1946,Bradford County ,Jun2022_Sum,129825,Jun2022_Sum
4,Brevard County ,Jan2020_Sum,0,Jan2020_Sum
71,Brevard County ,Feb2020_Sum,0,Feb2020_Sum
138,Brevard County ,Mar2020_Sum,210,Mar2020_Sum
205,Brevard County ,Apr2020_Sum,5139,Apr2020_Sum
272,Brevard County ,May2020_Sum,11085,May2020_Sum
339,Brevard County ,Jun2020_Sum,23466,Jun2020_Sum
406,Brevard County ,Jul2020_Sum,117966,Jul2020_Sum
473,Brevard County ,Aug2020_Sum,199982,Aug2020_Sum
540,Brevard County ,Sep2020_Sum,244389,Sep2020_Sum
607,Brevard County ,Oct2020_Sum,319679,Oct2020_Sum
674,Brevard County ,Nov2020_Sum,410162,Nov2020_Sum
741,Brevard County ,Dec2020_Sum,568114,Dec2020_Sum
808,Brevard County ,Jan2021_Sum,791573,Jan2021_Sum
875,Brevard County ,Feb2021_Sum,895228,Feb2021_Sum
942,Brevard County ,Mar2021_Sum,1106864,Mar2021_Sum
1009,Brevard County ,Apr2021_Sum,1172335,Apr2021_Sum
1076,Brevard County ,May2021_Sum,1306270,May2021_Sum
1143,Brevard County ,Jun2021_Sum,1287756,Jun2021_Sum
1210,Brevard County ,Jul2021_Sum,1435048,Jul2021_Sum
1277,Brevard County ,Aug2021_Sum,1857842,Aug2021_Sum
1344,Brevard County ,Sep2021_Sum,2261298,Sep2021_Sum
1411,Brevard County ,Oct2021_Sum,2479186,Oct2021_Sum
1478,Brevard County ,Nov2021_Sum,2433184,Nov2021_Sum
1545,Brevard County ,Dec2021_Sum,2562204,Dec2021_Sum
1612,Brevard County ,Jan2022_Sum,3272755,Jan2022_Sum
1679,Brevard County ,Feb2022_Sum,3612696,Feb2022_Sum
1746,Brevard County ,Mar2022_Sum,4110229,Mar2022_Sum
1813,Brevard County ,Apr2022_Sum,4007530,Apr2022_Sum
1880,Brevard County ,May2022_Sum,4229505,May2022_Sum
1947,Brevard County ,Jun2022_Sum,2408525,Jun2022_Sum
5,Broward County ,Jan2020_Sum,0,Jan2020_Sum
72,Broward County ,Feb2020_Sum,0,Feb2020_Sum
139,Broward County ,Mar2020_Sum,7234,Mar2020_Sum
206,Broward County ,Apr2020_Sum,100862,Apr2020_Sum
273,Broward County ,May2020_Sum,191588,May2020_Sum
340,Broward County ,Jun2020_Sum,302655,Jun2020_Sum
407,Broward County ,Jul2020_Sum,1100530,Jul2020_Sum
474,Broward County ,Aug2020_Sum,2027982,Aug2020_Sum
541,Broward County ,Sep2020_Sum,2244924,Sep2020_Sum
608,Broward County ,Oct2020_Sum,2509368,Oct2020_Sum
675,Broward County ,Nov2020_Sum,2886905,Nov2020_Sum
742,Broward County ,Dec2020_Sum,3812073,Dec2020_Sum
809,Broward County ,Jan2021_Sum,4856488,Jan2021_Sum
876,Broward County ,Feb2021_Sum,5172096,Feb2021_Sum
943,Broward County ,Mar2021_Sum,6355142,Mar2021_Sum
1010,Broward County ,Apr2021_Sum,6785501,Apr2021_Sum
1077,Broward County ,May2021_Sum,7487524,May2021_Sum
1144,Broward County ,Jun2021_Sum,7347065,Jun2021_Sum
1211,Broward County ,Jul2021_Sum,7890186,Jul2021_Sum
1278,Broward County ,Aug2021_Sum,9146831,Aug2021_Sum
1345,Broward County ,Sep2021_Sum,10126807,Sep2021_Sum
1412,Broward County ,Oct2021_Sum,10953618,Oct2021_Sum
1479,Broward County ,Nov2021_Sum,10761265,Nov2021_Sum
1546,Broward County ,Dec2021_Sum,11545479,Dec2021_Sum
1613,Broward County ,Jan2022_Sum,16062790,Jan2022_Sum
1680,Broward County ,Feb2022_Sum,16468078,Feb2022_Sum
1747,Broward County ,Mar2022_Sum,18528010,Mar2022_Sum
1814,Broward County ,Apr2022_Sum,18089694,Apr2022_Sum
1881,Broward County ,May2022_Sum,19165101,May2022_Sum
1948,Broward County ,Jun2022_Sum,10932409,Jun2022_Sum
6,Calhoun County ,Jan2020_Sum,0,Jan2020_Sum
73,Calhoun County ,Feb2020_Sum,0,Feb2020_Sum
140,Calhoun County ,Mar2020_Sum,1,Mar2020_Sum
207,Calhoun County ,Apr2020_Sum,147,Apr2020_Sum
274,Calhoun County ,May2020_Sum,1117,May2020_Sum
341,Calhoun County ,Jun2020_Sum,2001,Jun2020_Sum
408,Calhoun County ,Jul2020_Sum,5685,Jul2020_Sum
475,Calhoun County ,Aug2020_Sum,14788,Aug2020_Sum
542,Calhoun County ,Sep2020_Sum,17959,Sep2020_Sum
609,Calhoun County ,Oct2020_Sum,20696,Oct2020_Sum
676,Calhoun County ,Nov2020_Sum,23982,Nov2020_Sum
743,Calhoun County ,Dec2020_Sum,32042,Dec2020_Sum
810,Calhoun County ,Jan2021_Sum,43981,Jan2021_Sum
877,Calhoun County ,Feb2021_Sum,44207,Feb2021_Sum
944,Calhoun County ,Mar2021_Sum,50806,Mar2021_Sum
1011,Calhoun County ,Apr2021_Sum,50168,Apr2021_Sum
1078,Calhoun County ,May2021_Sum,52636,May2021_Sum
1145,Calhoun County ,Jun2021_Sum,51358,Jun2021_Sum
1212,Calhoun County ,Jul2021_Sum,56569,Jul2021_Sum
1279,Calhoun County ,Aug2021_Sum,71266,Aug2021_Sum
1346,Calhoun County ,Sep2021_Sum,84627,Sep2021_Sum
1413,Calhoun County ,Oct2021_Sum,92784,Oct2021_Sum
1480,Calhoun County ,Nov2021_Sum,90265,Nov2021_Sum
1547,Calhoun County ,Dec2021_Sum,93630,Dec2021_Sum
1614,Calhoun County ,Jan2022_Sum,105042,Jan2022_Sum
1681,Calhoun County ,Feb2022_Sum,111945,Feb2022_Sum
1748,Calhoun County ,Mar2022_Sum,126432,Mar2022_Sum
1815,Calhoun County ,Apr2022_Sum,122706,Apr2022_Sum
1882,Calhoun County ,May2022_Sum,127431,May2022_Sum
1949,Calhoun County ,Jun2022_Sum,70471,Jun2022_Sum
7,Charlotte County ,Jan2020_Sum,0,Jan2020_Sum
74,Charlotte County ,Feb2020_Sum,0,Feb2020_Sum
141,Charlotte County ,Mar2020_Sum,115,Mar2020_Sum
208,Charlotte County ,Apr2020_Sum,3815,Apr2020_Sum
275,Charlotte County ,May2020_Sum,11250,May2020_Sum
342,Charlotte County ,Jun2020_Sum,16885,Jun2020_Sum
409,Charlotte County ,Jul2020_Sum,40671,Jul2020_Sum
476,Charlotte County ,Aug2020_Sum,73250,Aug2020_Sum
543,Charlotte County ,Sep2020_Sum,86934,Sep2020_Sum
