,County Name,Date,Covid Cases,months
818,Duval County ,Jan2021_Sum,2272901,Jan2021_Sum
885,Duval County ,Feb2021_Sum,2407133,Feb2021_Sum
952,Duval County ,Mar2021_Sum,2815028,Mar2021_Sum
1019,Duval County ,Apr2021_Sum,2846776,Apr2021_Sum
1086,Duval County ,May2021_Sum,3076274,May2021_Sum
1153,Duval County ,Jun2021_Sum,3026367,Jun2021_Sum
1220,Duval County ,Jul2021_Sum,3432094,Jul2021_Sum
1287,Duval County ,Aug2021_Sum,4277225,Aug2021_Sum
1354,Duval County ,Sep2021_Sum,4701153,Sep2021_Sum
1421,Duval County ,Oct2021_Sum,5061916,Oct2021_Sum
1488,Duval County ,Nov2021_Sum,4950033,Nov2021_Sum
1555,Duval County ,Dec2021_Sum,5178146,Dec2021_Sum
1622,Duval County ,Jan2022_Sum,6393269,Jan2022_Sum
1689,Duval County ,Feb2022_Sum,6891094,Feb2022_Sum
1756,Duval County ,Mar2022_Sum,7795422,Mar2022_Sum
1823,Duval County ,Apr2022_Sum,7583443,Apr2022_Sum
1890,Duval County ,May2022_Sum,7935689,May2022_Sum
1957,Duval County ,Jun2022_Sum,4457911,Jun2022_Sum
15,Escambia County ,Jan2020_Sum,0,Jan2020_Sum
82,Escambia County ,Feb2020_Sum,0,Feb2020_Sum
149,Escambia County ,Mar2020_Sum,334,Mar2020_Sum
216,Escambia County ,Apr2020_Sum,8583,Apr2020_Sum
283,Escambia County ,May2020_Sum,21296,May2020_Sum
350,Escambia County ,Jun2020_Sum,33889,Jun2020_Sum
417,Escambia County ,Jul2020_Sum,153654,Jul2020_Sum
484,Escambia County ,Aug2020_Sum,308950,Aug2020_Sum
551,Escambia County ,Sep2020_Sum,356019,Sep2020_Sum
618,Escambia County ,Oct2020_Sum,400415,Oct2020_Sum
685,Escambia County ,Nov2020_Sum,455119,Nov2020_Sum
752,Escambia County ,Dec2020_Sum,601101,Dec2020_Sum
819,Escambia County ,Jan2021_Sum,835491,Jan2021_Sum
886,Escambia County ,Feb2021_Sum,913416,Feb2021_Sum
953,Escambia County ,Mar2021_Sum,1066207,Mar2021_Sum
1020,Escambia County ,Apr2021_Sum,1061063,Apr2021_Sum
1087,Escambia County ,May2021_Sum,1126340,May2021_Sum
1154,Escambia County ,Jun2021_Sum,1028090,Jun2021_Sum
1221,Escambia County ,Jul2021_Sum,1057038,Jul2021_Sum
1288,Escambia County ,Aug2021_Sum,1260828,Aug2021_Sum
1355,Escambia County ,Sep2021_Sum,1506739,Sep2021_Sum
1422,Escambia County ,Oct2021_Sum,1649082,Oct2021_Sum
1489,Escambia County ,Nov2021_Sum,1615515,Nov2021_Sum
1556,Escambia County ,Dec2021_Sum,1689517,Dec2021_Sum
1623,Escambia County ,Jan2022_Sum,2009419,Jan2022_Sum
1690,Escambia County ,Feb2022_Sum,2129797,Feb2022_Sum
1757,Escambia County ,Mar2022_Sum,2408507,Mar2022_Sum
1824,Escambia County ,Apr2022_Sum,2336404,Apr2022_Sum
1891,Escambia County ,May2022_Sum,2427534,May2022_Sum
1958,Escambia County ,Jun2022_Sum,1350716,Jun2022_Sum
16,Flagler County ,Jan2020_Sum,0,Jan2020_Sum
83,Flagler County ,Feb2020_Sum,0,Feb2020_Sum
150,Flagler County ,Mar2020_Sum,93,Mar2020_Sum
217,Flagler County ,Apr2020_Sum,2004,Apr2020_Sum
284,Flagler County ,May2020_Sum,4934,May2020_Sum
351,Flagler County ,Jun2020_Sum,6713,Jun2020_Sum
418,Flagler County ,Jul2020_Sum,18255,Jul2020_Sum
485,Flagler County ,Aug2020_Sum,35368,Aug2020_Sum
552,Flagler County ,Sep2020_Sum,47050,Sep2020_Sum
619,Flagler County ,Oct2020_Sum,60182,Oct2020_Sum
686,Flagler County ,Nov2020_Sum,72938,Nov2020_Sum
753,Flagler County ,Dec2020_Sum,98535,Dec2020_Sum
820,Flagler County ,Jan2021_Sum,142549,Jan2021_Sum
887,Flagler County ,Feb2021_Sum,157974,Feb2021_Sum
954,Flagler County ,Mar2021_Sum,195964,Mar2021_Sum
1021,Flagler County ,Apr2021_Sum,209089,Apr2021_Sum
1088,Flagler County ,May2021_Sum,228767,May2021_Sum
1155,Flagler County ,Jun2021_Sum,224950,Jun2021_Sum
1222,Flagler County ,Jul2021_Sum,249226,Jul2021_Sum
1289,Flagler County ,Aug2021_Sum,322852,Aug2021_Sum
1356,Flagler County ,Sep2021_Sum,400447,Sep2021_Sum
1423,Flagler County ,Oct2021_Sum,440842,Oct2021_Sum
1490,Flagler County ,Nov2021_Sum,433652,Nov2021_Sum
1557,Flagler County ,Dec2021_Sum,458048,Dec2021_Sum
1624,Flagler County ,Jan2022_Sum,555782,Jan2022_Sum
1691,Flagler County ,Feb2022_Sum,605610,Feb2022_Sum
1758,Flagler County ,Mar2022_Sum,687574,Mar2022_Sum
1825,Flagler County ,Apr2022_Sum,670619,Apr2022_Sum
1892,Flagler County ,May2022_Sum,705520,May2022_Sum
1959,Flagler County ,Jun2022_Sum,399867,Jun2022_Sum
17,Franklin County ,Jan2020_Sum,0,Jan2020_Sum
84,Franklin County ,Feb2020_Sum,0,Feb2020_Sum
151,Franklin County ,Mar2020_Sum,0,Mar2020_Sum
218,Franklin County ,Apr2020_Sum,54,Apr2020_Sum
285,Franklin County ,May2020_Sum,62,May2020_Sum
352,Franklin County ,Jun2020_Sum,88,Jun2020_Sum
419,Franklin County ,Jul2020_Sum,1629,Jul2020_Sum
486,Franklin County ,Aug2020_Sum,13062,Aug2020_Sum
553,Franklin County ,Sep2020_Sum,17592,Sep2020_Sum
620,Franklin County ,Oct2020_Sum,21658,Oct2020_Sum
687,Franklin County ,Nov2020_Sum,24268,Nov2020_Sum
754,Franklin County ,Dec2020_Sum,26499,Dec2020_Sum
821,Franklin County ,Jan2021_Sum,33755,Jan2021_Sum
888,Franklin County ,Feb2021_Sum,35440,Feb2021_Sum
955,Franklin County ,Mar2021_Sum,39887,Mar2021_Sum
1022,Franklin County ,Apr2021_Sum,39127,Apr2021_Sum
1089,Franklin County ,May2021_Sum,41465,May2021_Sum
1156,Franklin County ,Jun2021_Sum,40121,Jun2021_Sum
1223,Franklin County ,Jul2021_Sum,42270,Jul2021_Sum
1290,Franklin County ,Aug2021_Sum,52173,Aug2021_Sum
1357,Franklin County ,Sep2021_Sum,63074,Sep2021_Sum
1424,Franklin County ,Oct2021_Sum,68660,Oct2021_Sum
1491,Franklin County ,Nov2021_Sum,66842,Nov2021_Sum
1558,Franklin County ,Dec2021_Sum,69322,Dec2021_Sum
1625,Franklin County ,Jan2022_Sum,77815,Jan2022_Sum
1692,Franklin County ,Feb2022_Sum,84158,Feb2022_Sum
1759,Franklin County ,Mar2022_Sum,95175,Mar2022_Sum
1826,Franklin County ,Apr2022_Sum,92300,Apr2022_Sum
1893,Franklin County ,May2022_Sum,95777,May2022_Sum
1960,Franklin County ,Jun2022_Sum,53006,Jun2022_Sum
18,Gadsden County ,Jan2020_Sum,0,Jan2020_Sum
85,Gadsden County ,Feb2020_Sum,0,Feb2020_Sum
152,Gadsden County ,Mar2020_Sum,14,Mar2020_Sum
219,Gadsden County ,Apr2020_Sum,1247,Apr2020_Sum
286,Gadsden County ,May2020_Sum,5939,May2020_Sum
353,Gadsden County ,Jun2020_Sum,9471,Jun2020_Sum
420,Gadsden County ,Jul2020_Sum,24248,Jul2020_Sum
487,Gadsden County ,Aug2020_Sum,61617,Aug2020_Sum
554,Gadsden County ,Sep2020_Sum,78871,Sep2020_Sum
621,Gadsden County ,Oct2020_Sum,92717,Oct2020_Sum
688,Gadsden County ,Nov2020_Sum,94811,Nov2020_Sum
755,Gadsden County ,Dec2020_Sum,111534,Dec2020_Sum
822,Gadsden County ,Jan2021_Sum,144338,Jan2021_Sum
889,Gadsden County ,Feb2021_Sum,148475,Feb2021_Sum
956,Gadsden County ,Mar2021_Sum,170612,Mar2021_Sum
1023,Gadsden County ,Apr2021_Sum,167504,Apr2021_Sum
1090,Gadsden County ,May2021_Sum,177291,May2021_Sum
1157,Gadsden County ,Jun2021_Sum,173862,Jun2021_Sum
1224,Gadsden County ,Jul2021_Sum,186636,Jul2021_Sum
1291,Gadsden County ,Aug2021_Sum,216715,Aug2021_Sum
1358,Gadsden County ,Sep2021_Sum,244147,Sep2021_Sum
1425,Gadsden County ,Oct2021_Sum,265771,Oct2021_Sum
1492,Gadsden County ,Nov2021_Sum,260164,Nov2021_Sum
1559,Gadsden County ,Dec2021_Sum,272987,Dec2021_Sum
1626,Gadsden County ,Jan2022_Sum,341297,Jan2022_Sum
1693,Gadsden County ,Feb2022_Sum,367273,Feb2022_Sum
1760,Gadsden County ,Mar2022_Sum,415216,Mar2022_Sum
1827,Gadsden County ,Apr2022_Sum,402974,Apr2022_Sum
1894,Gadsden County ,May2022_Sum,418756,May2022_Sum
1961,Gadsden County ,Jun2022_Sum,233611,Jun2022_Sum
19,Gilchrist County ,Jan2020_Sum,0,Jan2020_Sum
86,Gilchrist County ,Feb2020_Sum,0,Feb2020_Sum
153,Gilchrist County ,Mar2020_Sum,0,Mar2020_Sum
220,Gilchrist County ,Apr2020_Sum,91,Apr2020_Sum
287,Gilchrist County ,May2020_Sum,251,May2020_Sum
354,Gilchrist County ,Jun2020_Sum,1561,Jun2020_Sum
421,Gilchrist County ,Jul2020_Sum,6172,Jul2020_Sum
488,Gilchrist County ,Aug2020_Sum,12319,Aug2020_Sum
555,Gilchrist County ,Sep2020_Sum,14766,Sep2020_Sum
622,Gilchrist County ,Oct2020_Sum,17222,Oct2020_Sum
689,Gilchrist County ,Nov2020_Sum,20412,Nov2020_Sum
756,Gilchrist County ,Dec2020_Sum,27570,Dec2020_Sum
823,Gilchrist County ,Jan2021_Sum,34822,Jan2021_Sum
890,Gilchrist County ,Feb2021_Sum,36970,Feb2021_Sum
957,Gilchrist County ,Mar2021_Sum,45078,Mar2021_Sum
1024,Gilchrist County ,Apr2021_Sum,46536,Apr2021_Sum
1091,Gilchrist County ,May2021_Sum,50236,May2021_Sum
1158,Gilchrist County ,Jun2021_Sum,49270,Jun2021_Sum
1225,Gilchrist County ,Jul2021_Sum,53382,Jul2021_Sum
1292,Gilchrist County ,Aug2021_Sum,67541,Aug2021_Sum
1359,Gilchrist County ,Sep2021_Sum,86516,Sep2021_Sum
1426,Gilchrist County ,Oct2021_Sum,96732,Oct2021_Sum
1493,Gilchrist County ,Nov2021_Sum,95036,Nov2021_Sum
1560,Gilchrist County ,Dec2021_Sum,99129,Dec2021_Sum
1627,Gilchrist County ,Jan2022_Sum,110410,Jan2022_Sum
1694,Gilchrist County ,Feb2022_Sum,121923,Feb2022_Sum
1761,Gilchrist County ,Mar2022_Sum,139864,Mar2022_Sum
1828,Gilchrist County ,Apr2022_Sum,136247,Apr2022_Sum
1895,Gilchrist County ,May2022_Sum,141581,May2022_Sum
1962,Gilchrist County ,Jun2022_Sum,78559,Jun2022_Sum
20,Glades County ,Jan2020_Sum,0,Jan2020_Sum
87,Glades County ,Feb2020_Sum,0,Feb2020_Sum
154,Glades County ,Mar2020_Sum,7,Mar2020_Sum
221,Glades County ,Apr2020_Sum,137,Apr2020_Sum
288,Glades County ,May2020_Sum,416,May2020_Sum
355,Glades County ,Jun2020_Sum,3427,Jun2020_Sum
422,Glades County ,Jul2020_Sum,7975,Jul2020_Sum
489,Glades County ,Aug2020_Sum,13089,Aug2020_Sum
556,Glades County ,Sep2020_Sum,14703,Sep2020_Sum
623,Glades County ,Oct2020_Sum,18001,Oct2020_Sum
690,Glades County ,Nov2020_Sum,19183,Nov2020_Sum
757,Glades County ,Dec2020_Sum,22525,Dec2020_Sum
824,Glades County ,Jan2021_Sum,25649,Jan2021_Sum
891,Glades County ,Feb2021_Sum,24745,Feb2021_Sum
958,Glades County ,Mar2021_Sum,28352,Mar2021_Sum
1025,Glades County ,Apr2021_Sum,28123,Apr2021_Sum
1092,Glades County ,May2021_Sum,29914,May2021_Sum
1159,Glades County ,Jun2021_Sum,29585,Jun2021_Sum
1226,Glades County ,Jul2021_Sum,31369,Jul2021_Sum
1293,Glades County ,Aug2021_Sum,34324,Aug2021_Sum
1360,Glades County ,Sep2021_Sum,39802,Sep2021_Sum
1427,Glades County ,Oct2021_Sum,43819,Oct2021_Sum
1494,Glades County ,Nov2021_Sum,43581,Nov2021_Sum
1561,Glades County ,Dec2021_Sum,45419,Dec2021_Sum
1628,Glades County ,Jan2022_Sum,51977,Jan2022_Sum
1695,Glades County ,Feb2022_Sum,54352,Feb2022_Sum
1762,Glades County ,Mar2022_Sum,61490,Mar2022_Sum
1829,Glades County ,Apr2022_Sum,59627,Apr2022_Sum
1896,Glades County ,May2022_Sum,61974,May2022_Sum
1963,Glades County ,Jun2022_Sum,34591,Jun2022_Sum
21,Gulf County ,Jan2020_Sum,0,Jan2020_Sum
88,Gulf County ,Feb2020_Sum,0,Feb2020_Sum
155,Gulf County ,Mar2020_Sum,0,Mar2020_Sum
222,Gulf County ,Apr2020_Sum,30,Apr2020_Sum
289,Gulf County ,May2020_Sum,31,May2020_Sum
356,Gulf County ,Jun2020_Sum,309,Jun2020_Sum
423,Gulf County ,Jul2020_Sum,4438,Jul2020_Sum
490,Gulf County ,Aug2020_Sum,21148,Aug2020_Sum
557,Gulf County ,Sep2020_Sum,25753,Sep2020_Sum
624,Gulf County ,Oct2020_Sum,28334,Oct2020_Sum
691,Gulf County ,Nov2020_Sum,30434,Nov2020_Sum
758,Gulf County ,Dec2020_Sum,36562,Dec2020_Sum
825,Gulf County ,Jan2021_Sum,47304,Jan2021_Sum
892,Gulf County ,Feb2021_Sum,50420,Feb2021_Sum
959,Gulf County ,Mar2021_Sum,58660,Mar2021_Sum
1026,Gulf County ,Apr2021_Sum,57941,Apr2021_Sum
1093,Gulf County ,May2021_Sum,61066,May2021_Sum
1160,Gulf County ,Jun2021_Sum,59122,Jun2021_Sum
1227,Gulf County ,Jul2021_Sum,64594,Jul2021_Sum
1294,Gulf County ,Aug2021_Sum,77656,Aug2021_Sum
1361,Gulf County ,Sep2021_Sum,85659,Sep2021_Sum
1428,Gulf County ,Oct2021_Sum,91689,Oct2021_Sum
1495,Gulf County ,Nov2021_Sum,89297,Nov2021_Sum
1562,Gulf County ,Dec2021_Sum,92651,Dec2021_Sum
1629,Gulf County ,Jan2022_Sum,106414,Jan2022_Sum
1696,Gulf County ,Feb2022_Sum,116478,Feb2022_Sum
1763,Gulf County ,Mar2022_Sum,132346,Mar2022_Sum
1830,Gulf County ,Apr2022_Sum,128420,Apr2022_Sum
1897,Gulf County ,May2022_Sum,133175,May2022_Sum
1964,Gulf County ,Jun2022_Sum,74025,Jun2022_Sum
22,Hamilton County ,Jan2020_Sum,0,Jan2020_Sum
89,Hamilton County ,Feb2020_Sum,0,Feb2020_Sum
156,Hamilton County ,Mar2020_Sum,0,Mar2020_Sum
223,Hamilton County ,Apr2020_Sum,88,Apr2020_Sum
290,Hamilton County ,May2020_Sum,3406,May2020_Sum
357,Hamilton County ,Jun2020_Sum,8470,Jun2020_Sum
424,Hamilton County ,Jul2020_Sum,14572,Jul2020_Sum
491,Hamilton County ,Aug2020_Sum,19820,Aug2020_Sum
558,Hamilton County ,Sep2020_Sum,23516,Sep2020_Sum
625,Hamilton County ,Oct2020_Sum,27478,Oct2020_Sum
692,Hamilton County ,Nov2020_Sum,28292,Nov2020_Sum
759,Hamilton County ,Dec2020_Sum,34200,Dec2020_Sum
826,Hamilton County ,Jan2021_Sum,43429,Jan2021_Sum
893,Hamilton County ,Feb2021_Sum,43173,Feb2021_Sum
960,Hamilton County ,Mar2021_Sum,48910,Mar2021_Sum
1027,Hamilton County ,Apr2021_Sum,48214,Apr2021_Sum
1094,Hamilton County ,May2021_Sum,50616,May2021_Sum
1161,Hamilton County ,Jun2021_Sum,49096,Jun2021_Sum
1228,Hamilton County ,Jul2021_Sum,51875,Jul2021_Sum
1295,Hamilton County ,Aug2021_Sum,62945,Aug2021_Sum
1362,Hamilton County ,Sep2021_Sum,76871,Sep2021_Sum
1429,Hamilton County ,Oct2021_Sum,83613,Oct2021_Sum
1496,Hamilton County ,Nov2021_Sum,82460,Nov2021_Sum
1563,Hamilton County ,Dec2021_Sum,85719,Dec2021_Sum
1630,Hamilton County ,Jan2022_Sum,98874,Jan2022_Sum
1697,Hamilton County ,Feb2022_Sum,104476,Feb2022_Sum
1764,Hamilton County ,Mar2022_Sum,118229,Mar2022_Sum
1831,Hamilton County ,Apr2022_Sum,114904,Apr2022_Sum
1898,Hamilton County ,May2022_Sum,119350,May2022_Sum
1965,Hamilton County ,Jun2022_Sum,66090,Jun2022_Sum
23,Hardee County ,Jan2020_Sum,0,Jan2020_Sum
90,Hardee County ,Feb2020_Sum,0,Feb2020_Sum
157,Hardee County ,Mar2020_Sum,0,Mar2020_Sum
224,Hardee County ,Apr2020_Sum,156,Apr2020_Sum
291,Hardee County ,May2020_Sum,1610,May2020_Sum
358,Hardee County ,Jun2020_Sum,7053,Jun2020_Sum
425,Hardee County ,Jul2020_Sum,20156,Jul2020_Sum
492,Hardee County ,Aug2020_Sum,30873,Aug2020_Sum
559,Hardee County ,Sep2020_Sum,37339,Sep2020_Sum
626,Hardee County ,Oct2020_Sum,46515,Oct2020_Sum
693,Hardee County ,Nov2020_Sum,50826,Nov2020_Sum
760,Hardee County ,Dec2020_Sum,59591,Dec2020_Sum
827,Hardee County ,Jan2021_Sum,73295,Jan2021_Sum
894,Hardee County ,Feb2021_Sum,75730,Feb2021_Sum
961,Hardee County ,Mar2021_Sum,88468,Mar2021_Sum
1028,Hardee County ,Apr2021_Sum,89993,Apr2021_Sum
1095,Hardee County ,May2021_Sum,99158,May2021_Sum
1162,Hardee County ,Jun2021_Sum,99314,Jun2021_Sum
1229,Hardee County ,Jul2021_Sum,109436,Jul2021_Sum
1296,Hardee County ,Aug2021_Sum,130786,Aug2021_Sum
1363,Hardee County ,Sep2021_Sum,165888,Sep2021_Sum
1430,Hardee County ,Oct2021_Sum,186223,Oct2021_Sum
1497,Hardee County ,Nov2021_Sum,182576,Nov2021_Sum
1564,Hardee County ,Dec2021_Sum,189870,Dec2021_Sum
1631,Hardee County ,Jan2022_Sum,221075,Jan2022_Sum
1698,Hardee County ,Feb2022_Sum,236504,Feb2022_Sum
1765,Hardee County ,Mar2022_Sum,267448,Mar2022_Sum
1832,Hardee County ,Apr2022_Sum,259875,Apr2022_Sum
1899,Hardee County ,May2022_Sum,270013,May2022_Sum
1966,Hardee County ,Jun2022_Sum,149605,Jun2022_Sum
24,Hendry County ,Jan2020_Sum,0,Jan2020_Sum
91,Hendry County ,Feb2020_Sum,0,Feb2020_Sum
158,Hendry County ,Mar2020_Sum,10,Mar2020_Sum
225,Hendry County ,Apr2020_Sum,1028,Apr2020_Sum
292,Hendry County ,May2020_Sum,6676,May2020_Sum
359,Hendry County ,Jun2020_Sum,20267,Jun2020_Sum
426,Hendry County ,Jul2020_Sum,40426,Jul2020_Sum
493,Hendry County ,Aug2020_Sum,57131,Aug2020_Sum
560,Hendry County ,Sep2020_Sum,60824,Sep2020_Sum
627,Hendry County ,Oct2020_Sum,66497,Oct2020_Sum
694,Hendry County ,Nov2020_Sum,70976,Nov2020_Sum
761,Hendry County ,Dec2020_Sum,89698,Dec2020_Sum
828,Hendry County ,Jan2021_Sum,115844,Jan2021_Sum
895,Hendry County ,Feb2021_Sum,117346,Feb2021_Sum
962,Hendry County ,Mar2021_Sum,136130,Mar2021_Sum
1029,Hendry County ,Apr2021_Sum,137201,Apr2021_Sum
1096,Hendry County ,May2021_Sum,148348,May2021_Sum
1163,Hendry County ,Jun2021_Sum,146774,Jun2021_Sum
1230,Hendry County ,Jul2021_Sum,156061,Jul2021_Sum
1297,Hendry County ,Aug2021_Sum,176816,Aug2021_Sum
1364,Hendry County ,Sep2021_Sum,222229,Sep2021_Sum
1431,Hendry County ,Oct2021_Sum,245007,Oct2021_Sum
1498,Hendry County ,Nov2021_Sum,239931,Nov2021_Sum
1565,Hendry County ,Dec2021_Sum,250241,Dec2021_Sum
1632,Hendry County ,Jan2022_Sum,303613,Jan2022_Sum
1699,Hendry County ,Feb2022_Sum,322333,Feb2022_Sum
1766,Hendry County ,Mar2022_Sum,361968,Mar2022_Sum
1833,Hendry County ,Apr2022_Sum,350897,Apr2022_Sum
1900,Hendry County ,May2022_Sum,365525,May2022_Sum
1967,Hendry County ,Jun2022_Sum,203588,Jun2022_Sum
25,Hernando County ,Jan2020_Sum,0,Jan2020_Sum
92,Hernando County ,Feb2020_Sum,0,Feb2020_Sum
159,Hernando County ,Mar2020_Sum,134,Mar2020_Sum
226,Hernando County ,Apr2020_Sum,2096,Apr2020_Sum
293,Hernando County ,May2020_Sum,3233,May2020_Sum
360,Hernando County ,Jun2020_Sum,5365,Jun2020_Sum
427,Hernando County ,Jul2020_Sum,31684,Jul2020_Sum
494,Hernando County ,Aug2020_Sum,68306,Aug2020_Sum
561,Hernando County ,Sep2020_Sum,87838,Sep2020_Sum
628,Hernando County ,Oct2020_Sum,106420,Oct2020_Sum
695,Hernando County ,Nov2020_Sum,129959,Nov2020_Sum
762,Hernando County ,Dec2020_Sum,191749,Dec2020_Sum
829,Hernando County ,Jan2021_Sum,272935,Jan2021_Sum
896,Hernando County ,Feb2021_Sum,298765,Feb2021_Sum
963,Hernando County ,Mar2021_Sum,368382,Mar2021_Sum
1030,Hernando County ,Apr2021_Sum,392167,Apr2021_Sum
1097,Hernando County ,May2021_Sum,441116,May2021_Sum
1164,Hernando County ,Jun2021_Sum,441556,Jun2021_Sum
1231,Hernando County ,Jul2021_Sum,483761,Jul2021_Sum
1298,Hernando County ,Aug2021_Sum,626339,Aug2021_Sum
1365,Hernando County ,Sep2021_Sum,789526,Sep2021_Sum
1432,Hernando County ,Oct2021_Sum,875893,Oct2021_Sum
1499,Hernando County ,Nov2021_Sum,858793,Nov2021_Sum
1566,Hernando County ,Dec2021_Sum,898465,Dec2021_Sum
1633,Hernando County ,Jan2022_Sum,1055215,Jan2022_Sum
1700,Hernando County ,Feb2022_Sum,1138526,Feb2022_Sum
1767,Hernando County ,Mar2022_Sum,1295188,Mar2022_Sum
1834,Hernando County ,Apr2022_Sum,1260092,Apr2022_Sum
1901,Hernando County ,May2022_Sum,1319584,May2022_Sum
1968,Hernando County ,Jun2022_Sum,743920,Jun2022_Sum
26,Highlands County ,Jan2020_Sum,0,Jan2020_Sum
93,Highlands County ,Feb2020_Sum,0,Feb2020_Sum
160,Highlands County ,Mar2020_Sum,76,Mar2020_Sum
227,Highlands County ,Apr2020_Sum,1749,Apr2020_Sum
294,Highlands County ,May2020_Sum,3205,May2020_Sum
361,Highlands County ,Jun2020_Sum,6167,Jun2020_Sum
428,Highlands County ,Jul2020_Sum,21818,Jul2020_Sum
495,Highlands County ,Aug2020_Sum,48562,Aug2020_Sum
562,Highlands County ,Sep2020_Sum,60543,Sep2020_Sum
629,Highlands County ,Oct2020_Sum,75011,Oct2020_Sum
696,Highlands County ,Nov2020_Sum,97179,Nov2020_Sum
763,Highlands County ,Dec2020_Sum,136489,Dec2020_Sum
830,Highlands County ,Jan2021_Sum,179287,Jan2021_Sum
897,Highlands County ,Feb2021_Sum,193589,Feb2021_Sum
964,Highlands County ,Mar2021_Sum,231059,Mar2021_Sum
1031,Highlands County ,Apr2021_Sum,241659,Apr2021_Sum
1098,Highlands County ,May2021_Sum,268074,May2021_Sum
1165,Highlands County ,Jun2021_Sum,262724,Jun2021_Sum
1232,Highlands County ,Jul2021_Sum,279755,Jul2021_Sum
1299,Highlands County ,Aug2021_Sum,333398,Aug2021_Sum
1366,Highlands County ,Sep2021_Sum,431966,Sep2021_Sum
1433,Highlands County ,Oct2021_Sum,487918,Oct2021_Sum
1500,Highlands County ,Nov2021_Sum,480334,Nov2021_Sum
1567,Highlands County ,Dec2021_Sum,502753,Dec2021_Sum
1634,Highlands County ,Jan2022_Sum,595930,Jan2022_Sum
1701,Highlands County ,Feb2022_Sum,647924,Feb2022_Sum
1768,Highlands County ,Mar2022_Sum,741762,Mar2022_Sum
1835,Highlands County ,Apr2022_Sum,722491,Apr2022_Sum
1902,Highlands County ,May2022_Sum,755222,May2022_Sum
1969,Highlands County ,Jun2022_Sum,422514,Jun2022_Sum
27,Hillsborough County ,Jan2020_Sum,0,Jan2020_Sum
94,Hillsborough County ,Feb2020_Sum,0,Feb2020_Sum
161,Hillsborough County ,Mar2020_Sum,1840,Mar2020_Sum
228,Hillsborough County ,Apr2020_Sum,24501,Apr2020_Sum
295,Hillsborough County ,May2020_Sum,50528,May2020_Sum
362,Hillsborough County ,Jun2020_Sum,146871,Jun2020_Sum
429,Hillsborough County ,Jul2020_Sum,655299,Jul2020_Sum
496,Hillsborough County ,Aug2020_Sum,1052018,Aug2020_Sum
563,Hillsborough County ,Sep2020_Sum,1197268,Sep2020_Sum
630,Hillsborough County ,Oct2020_Sum,1399419,Oct2020_Sum
697,Hillsborough County ,Nov2020_Sum,1597784,Nov2020_Sum
764,Hillsborough County ,Dec2020_Sum,2092096,Dec2020_Sum
831,Hillsborough County ,Jan2021_Sum,2807637,Jan2021_Sum
898,Hillsborough County ,Feb2021_Sum,2980017,Feb2021_Sum
965,Hillsborough County ,Mar2021_Sum,3610297,Mar2021_Sum
1032,Hillsborough County ,Apr2021_Sum,3860975,Apr2021_Sum
1099,Hillsborough County ,May2021_Sum,4334070,May2021_Sum
1166,Hillsborough County ,Jun2021_Sum,4322846,Jun2021_Sum
1233,Hillsborough County ,Jul2021_Sum,4706946,Jul2021_Sum
1300,Hillsborough County ,Aug2021_Sum,5678875,Aug2021_Sum
1367,Hillsborough County ,Sep2021_Sum,6717264,Sep2021_Sum
1434,Hillsborough County ,Oct2021_Sum,7386571,Oct2021_Sum
1501,Hillsborough County ,Nov2021_Sum,7300323,Nov2021_Sum
1568,Hillsborough County ,Dec2021_Sum,7717460,Dec2021_Sum
1635,Hillsborough County ,Jan2022_Sum,9570121,Jan2022_Sum
1702,Hillsborough County ,Feb2022_Sum,10135048,Feb2022_Sum
1769,Hillsborough County ,Mar2022_Sum,11549035,Mar2022_Sum
1836,Hillsborough County ,Apr2022_Sum,11257464,Apr2022_Sum
1903,Hillsborough County ,May2022_Sum,11829554,May2022_Sum
1970,Hillsborough County ,Jun2022_Sum,6687413,Jun2022_Sum
28,Holmes County ,Jan2020_Sum,0,Jan2020_Sum
95,Holmes County ,Feb2020_Sum,0,Feb2020_Sum
162,Holmes County ,Mar2020_Sum,2,Mar2020_Sum
229,Holmes County ,Apr2020_Sum,143,Apr2020_Sum
296,Holmes County ,May2020_Sum,382,May2020_Sum
363,Holmes County ,Jun2020_Sum,1936,Jun2020_Sum
430,Holmes County ,Jul2020_Sum,8750,Jul2020_Sum
497,Holmes County ,Aug2020_Sum,16669,Aug2020_Sum
564,Holmes County ,Sep2020_Sum,21318,Sep2020_Sum
631,Holmes County ,Oct2020_Sum,25681,Oct2020_Sum
698,Holmes County ,Nov2020_Sum,31320,Nov2020_Sum
765,Holmes County ,Dec2020_Sum,43424,Dec2020_Sum
832,Holmes County ,Jan2021_Sum,59791,Jan2021_Sum
899,Holmes County ,Feb2021_Sum,59942,Feb2021_Sum
966,Holmes County ,Mar2021_Sum,68243,Mar2021_Sum
1033,Holmes County ,Apr2021_Sum,66733,Apr2021_Sum
1100,Holmes County ,May2021_Sum,70248,May2021_Sum
1167,Holmes County ,Jun2021_Sum,68176,Jun2021_Sum
1234,Holmes County ,Jul2021_Sum,72110,Jul2021_Sum
1301,Holmes County ,Aug2021_Sum,86197,Aug2021_Sum
1368,Holmes County ,Sep2021_Sum,106127,Sep2021_Sum
1435,Holmes County ,Oct2021_Sum,117854,Oct2021_Sum
1502,Holmes County ,Nov2021_Sum,115534,Nov2021_Sum
