sort,State,FIPS,County,County Seat(s),Population (2010),Land area km2,Land area mi2,Water area km2,Water area mi2,Total area km2,Total area mi2,Latitude,Longitude
376,FL,12111,St. Lucie,Sarasota,"277,789","1,481.28",571.926,300.907,116.181,"1,782.19",688.107,+27.380775°,–80.443364°
377,FL,12113,Santa Rosa,Sanford,"151,372","2,620.04","1,011.61",420.026,162.173,"3,040.07","1,173.78",+30.703633°,–87.014255°
378,FL,12115,Sarasota,St. Augustine,"379,448","1,439.69",555.868,438.941,169.476,"1,878.63",725.344,+27.184386°,–82.365835°
379,FL,12117,Seminole,Fort Pierce,"422,718",800.879,309.221,93.428,36.073,894.308,345.294,+28.690079°,–81.131980°
380,FL,12119,Sumter,Bushnell,"93,420","1,416.55",546.933,85.192,32.893,"1,501.74",579.826,+28.714294°,–82.074715°
381,FL,12121,Suwannee,Live Oak,"41,551","1,783.34",688.552,9.594,3.704,"1,792.94",692.256,+30.189244°,–82.992754°
382,FL,12123,Taylor,Perry,"22,570","2,702.15","1,043.31",489.238,188.896,"3,191.39","1,232.20",+30.016943°,–83.616417°
383,FL,12125,Union,Lake Butler,"15,535",630.806,243.556,16.05,6.197,646.856,249.753,+30.054280°,–82.366918°
384,FL,12127,Volusia,DeLand,"494,593","2,851.66","1,101.03",858.331,331.404,"3,709.99","1,432.44",+29.057617°,–81.161813°
385,FL,12129,Wakulla,Crawfordville,"30,776","1,570.62",606.419,334.904,129.307,"1,905.52",735.726,+30.140378°,–84.375136°
386,FL,12131,Walton,De Funiak Springs,"55,043","2,687.44","1,037.63",523.1,201.97,"3,210.54","1,239.60",+30.631211°,–86.176614°
387,FL,12133,Washington,Chipley,"24,896","1,509.45",582.803,85.861,33.151,"1,595.31",615.954,+30.602217°,–85.662797°
